Tag	g__Streptococcus	g__Prevotella	g__Sphingomonas	g__Veillonella	g__Escherichia	g__Pauljensenia	g__Neisseria	g__Rothia	g__Acinetobacter	g__Moraxella_A	g__Haemophilus	g__Granulicatella	g__Haemophilus_D	g__Actinomyces	g__Brevundimonas	g__Alloprevotella	g__Porphyromonas	g__Anaeroglobus	g__Fusobacterium	g__Lancefieldella	g__Gemella	g__Moraxella	g__Pseudomonas	g__Klebsiella	g__Nanosynbacter	g__Capnocytophaga	g__Achromobacter	g__Campylobacter_A	g__Lachnoanaerobaculum	g__Leptotrichia	g__Leptotrichia_A	g__Candidatus_Minimicrobia	g__Noviherbaspirillum_A	g__JABCPH02	g__Abiotrophia	g__Corynebacterium	g__Cutibacterium	g__Centipeda	g__Tannerella	g__Bulleidia	g__Lactobacillus	g__Oribacterium	g__F0422	g__Sphingomicrobium	g__Lautropia	g__Moryella	g__Methylobacterium	g__Mogibacterium	g__Cardiobacterium	g__Bordetella	g__Enterococcus	g__Nanogingivalis	g__Faecalibacterium	g__Staphylococcus	g__Eikenella	g__Enterobacter	g__Bifidobacterium	g__Acidovorax	g__Blastomonas	g__Microvirga	g__Nanosyncoccus	g__Haemophilus_A	g__Peptostreptococcus	g__Arachnia	g__Bradyrhizobium	g__Alistipes	g__Catonella	g__Campylobacter_B	g__Ottowia	g__CAJPNX01	g__Aggregatibacter	g__Afipia	g__Agromyces	g__Ralstonia	g__Metamycoplasma	g__Dolosigranulum	g__Akkermansia	g__Candidatus_Nanosynbacter	g__Pseudomonas_E	g__Parvimonas	g__Diaphorobacter	g__Deinococcus	g__Phocaeicola	g__Lysobacter	g__Solobacterium	g__Pseudoxanthomonas_A	g__Duncaniella	g__Fannyhessea	g__Allosphingosinicella	g__Microbacterium	g__Limosilactobacillus	g__Aquabacterium	g__Thiobacillus	g__Bacteroides	g__Treponema	g__Pelomonas	g__Salmonella	g__Gemmiger	g__Tepidimonas	g__Mycobacterium	g__Selenomonas	g__Collinsella	g__Epilithonimonas	g__Peptidiphaga	g__Muribaculum	g__U87765	g__Parafannyhessea	g__Kingella_B	g__Xanthomonas	g__Dialister	g__Dysosmobacter	g__Vescimonas	g__Sutterella	g__Lawsonibacter	g__Acetilactobacillus	g__Hominicoprocola	g__Kingella_A	g__Slackia	g__Agathobacter	g__Bergeyella_A	g__Pseudostreptobacillus	g__Shuttleworthia	g__Scardovia	g__Adlercreutzia	g__Roseburia	g__Lepagella	g__Vibrio	g__Agathobaculum	g__Paracoccus	g__Streptobacillus	g__Paramuribaculum	g__Phascolarctobacterium_A	g__Filifactor	g__Flavonifractor	g__Stenotrophomonas	g__Nocardioides	g__Treponema_D	g__Candidatus_Nanoperiomorbus	g__Fretibacterium	g__Brevibacterium	g__Serratia	g__Candidatus_Nanosynsacchari	g__Olsenella_F	g__Arthrobacter	g__Ligilactobacillus	g__Acetatifactor	g__Propionibacterium	g__Kocuria	g__CAG-266	g__Dyella_B	g__Treponema_B	g__Brachybacterium	g__Fusobacterium_C	g__Jeotgalicoccus	g__Fusicatenibacter	g__Ruminococcus_E	g__Neglectibacter	g__Sphingobium	g__Methylobacillus	g__Nesterenkonia	g__Desulfovibrio	g__Thermus	g__Mesorhizobium	g__Campylobacter	g__Treponema_C	g__Comamonas	g__Salinicoccus	g__Enterococcus_B	g__Variovorax	g__Janibacter	g__Granulimonas	g__Zoogloea	g__Vreelandella	g__Dorea_A	g__Merdivivens	g__Allisonella	g__Roseomonas	g__Otoolea	g__Parabacteroides	g__Vermiculatibacterium	g__Glutamicibacter	g__Micrococcus	g__Piscicoccus	g__Blautia_A	g__Agrobacterium	g__Friedmanniella	g__Mediterraneibacter	g__Nanoperiomorbus	g__Paraprevotella	g__Anaerotignum	g__Blautia	g__Blastococcus	g__Caulobacter	g__Desulfobulbus	g__Nocardiopsis	g__Pyramidobacter	g__Coprococcus	g__Lacticaseibacillus	g__Rhodococcus	g__Hominimerdicola	g__Sediminibacterium	g__Bariatricus	g__Azospira	g__Stutzerimonas	g__Bilophila	g__Eggerthella	g__Cryptobacterium	g__Labilithrix	g__Yimella	g__Aquincola	g__Hominisplanchenecus	g__Ramlibacter	g__Janibacter_A	g__Rubrobacter_E	g__QFOP01	g__Tractidigestivibacter	g__Ezakiella	g__Johnsonella	g__Helicobacter	g__Megasphaera	g__Amaricoccus	g__Barnesiella	g__Nakamurella	g__Roseateles	g__Streptomyces	g__Megasphaera_C	g__Phreatobacter	g__Reyranella	g__Telluria	g__Trinickia	g__Actinomycetospora	g__Gaiella	g__Sorangium	g__Enterorhabdus	g__Solirubrobacter	g__Lachnospira	g__Methylophilus	g__Arsenicicoccus	g__Methylovorus	g__Alistipes_A	g__Jiangella	g__Cloacibacterium	g__Evtepia	g__Ruminococcus_B	g__Cellulomonas_A	g__Azonexus	g__Cellulosimicrobium	g__Curvibacter	g__Aquabacterium_A	g__Gulosibacter	g__Amnibacterium	g__Ruthenibacterium	g__Nocardioides_B	g__Odoribacter	g__Lachnoclostridium_B	g__Mesosutterella	g__Xylanimonas	g__Enterenecus	g__Anaerostipes	g__Hominiventricola	g__Jutongia	g__Paenirhodobacter	g__Isoptericola	g__Hominilimicola	g__Alitiscatomonas	g__Tepidiphilus	g__Aeromicrobium	g__Gordonia	g__Georgenia	g__Sporofaciens	g__Pasteurella	g__Methyloversatilis	g__Gelidibacter	g__Dermacoccus	g__Peptoanaerobacter	g__Psychrobacter
HD0031101-BJ117	0.286895667	0.433206099	0	0.10962682	0	0	0	0	0	0	0	0	0	0	0	0.170271414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031102-BJ134	0.502097213	0	0.0533761	0.064807961	0	0.084217452	0	0.212106258	0	0	0	0	0.083395016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031103-BJ140	0	0	0.809269764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190730236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031104-BJ147	0.471797062	0.103447081	0.003749087	0.080497073	0	0.011613629	0.065332392	0.021085985	0	0.001143663	0.066334955	0.05388338	0.019260332	0	0.001339225	0.030939562	0.001589247	0.000397312	0.000548315	0.001430817	0.020550047	0.005626725	0	0	0	0.006166376	0	0.00424913	0.001113958	0.000517372	0	0	0	0.000461674	0.00411298	0	0	0	0	0	0	0	0.019166265	0	0.000892404	0.000648571	0	0.000979045	0	0	0	0	0	0	0.001126335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031105-BJ171	0	0	0.25114157	0	0	0	0	0	0	0.296803641	0	0	0	0	0.45205479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031106-BJ177	0	0	0.407806157	0	0	0	0	0	0	0.592193843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031107-BJ200	0.193034124	0.130748019	0.158799256	0.034023664	0	0.035024933	0.048280043	0.041404126	0	0.116808449	0.001106874	0.005139337	0.00501809	0.01284052	0.075157915	0.00280043	0.0100088	0.006703823	0.00386037	0.002843454	0.006915028	0	0	0	0.005561748	0	0	0.001271145	0.003125061	0	0	0	0.011107852	0	0	0.005014178	0.008467782	0.003265865	0	0.006488706	0	0	0.00057886	0.028133373	0	0.005061113	0.001474528	0.001466706	0	0	0	0	0	0	0	0	0	0	0	0.00836609	0	0	0.001654444	0.000950425	0	0	0	0	0	0	0	0	0	0	0.002061211	0	0	0	0	0.003203286	0.002495355	0.002053388	0	0	0	0	0	0.00151364	0	0.002178547	0	0	0	0	0	0.001212477	0	0	0.001791337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000985626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031108-BJ206	0.172141919	0	0.497766097	0	0	0	0	0	0	0.197897503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132194481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031109-BJ232	0.673964774	0.024910574	0	0.008806233	0	0.076891597	0	0.025926094	0	0	0.177685826	0	0	0	0	0.007858918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003955984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031110-BJ279	0	0	0.470391103	0	0	0	0.529608897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031112-BJ353	0.129484	0.110242814	0.008963898	0.134901742	0.165643316	0.091765034	0.144349953	0.042734481	0	0.009119863	0	0.039738307	0.008036315	0	0	0	0.011163829	0	0	0	0	0	0	0.057887738	0	0	0	0.035141436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010827273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031113-BJ366	0	0	0.629820051	0	0	0	0	0	0	0	0	0	0	0	0.370179949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031114-BJ383	0.512367382	0.009945088	0.129609425	0.006200527	0	0.003210266	0.007493613	0.002231471	0	0.121945196	0.002496374	0.017070531	0	0	0.054291654	0	0	0	0	0	0.013483116	0.051952425	0	0	0	0	0	0	0	0	0	0	0.007942601	0	0	0	0.002473925	0	0	0	0	0	0.002869035	0.019715073	0	0	0.006236446	0	0	0	0	0	0	0	0	0	0.001293086	0	0	0.006716863	0	0	0	0	0	0	0	0	0	0	0	0	0.001692686	0	0.008319751	0	0	0	0	0	0	0	0	0.002725358	0	0.002123714	0	0.001719625	0.001692686	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002182083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031115-BJ410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031117-BJ444	0	0.009516666	0.65970701	0	0.164551852	0	0	0	0.0136694	0	0	0	0	0	0.00755566	0	0.00657515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016091815	0.013611723	0	0	0	0.033740919	0	0	0	0	0	0	0	0	0	0	0	0.0081901	0	0	0.03091475	0	0	0	0	0	0	0	0	0.006459803	0	0	0	0	0	0	0	0	0	0	0	0.008536163	0	0	0	0	0	0.005883032	0	0	0	0	0.008305454	0	0	0	0.006690504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031118-BJ450	0.001310166	0	0	0	0	0	0	0	0.998689834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031119-BJ514	0.016711358	0.000695087	0.011447356	0.000583651	0.001764882	0	0.000565542	0.000906818	0.95412421	0.000672801	0.004593986	0	0	0	0	0	0	0	0	0	0	0	0	0.002508724	0	0	0	0	0	0	0	0	0	0	0	0	0.003805571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000807918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000812096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0031120-BJ524	0.939888151	0	0	0	0.025923579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03418827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
