Tag	g__Abiotrophia	g__Acinetobacter	g__Actinomyces	g__Aggregatibacter	g__Alloprevotella	g__Anaeroglobus	g__Arachnia	g__Bulleidia	g__CAJPNX01	g__Campylobacter	g__Campylobacter_A	g__Campylobacter_B	g__Candidatus_Minimicrobia	g__Capnocytophaga	g__Cardiobacterium	g__Catonella	g__Centipeda	g__Corynebacterium	g__Cutibacterium	g__Dialister	g__Eikenella	g__Escherichia	g__F0422	g__Filifactor	g__Frankia	g__Fusobacterium	g__Gemella	g__Granulicatella	g__Haemophilus	g__Haemophilus_A	g__Haemophilus_D	g__Halomonas	g__Herbaspirillum	g__JABCPH02	g__Johnsonella	g__Kingella_A	g__Kingella_B	g__Lachnoanaerobaculum	g__Lacticaseibacillus	g__Lactobacillus	g__Lancefieldella	g__Lautropia	g__Leptotrichia	g__Leptotrichia_A	g__Ligilactobacillus	g__Limosilactobacillus	g__Metamycoplasma	g__Mogibacterium	g__Moraxella_C	g__Moryella	g__Nanogingivalis	g__Nanoperiomorbus	g__Nanosynbacter	g__Nanosyncoccus	g__Neisseria	g__Olsenella_F	g__Oribacterium	g__Ottowia	g__Parvimonas	g__Pauljensenia	g__Peptidiphaga	g__Peptostreptococcus	g__Phreatobacter	g__Porphyromonas	g__Prevotella	g__Pseudomonas_E	g__Pseudostreptobacillus	g__Ralstonia	g__Rothia	g__Scardovia	g__Selenomonas	g__Serratia	g__Slackia	g__Solobacterium	g__Sphingomonas	g__Staphylococcus	g__Streptococcus	g__Tannerella	g__Tepidiphilus	g__Treponema	g__Treponema_D	g__Veillonella
CRR813129	0.000781353	0	0.060773974	0	0.018629097	0.015927847	0	0.014879777	0	0	0.037980796	0	0.002500329	0.004733941	0	0.000800152	0.00632602	0.000304316	0	0	0	0	0.000986972	0	0	0.042832233	0.002873969	0.012333625	0.000143346	0	0.002078516	0	0	0.005729138	0	0	0.000148046	0.033940086	0	0	0.067948321	0.000330166	0.027091205	0.005931231	0	0	0	0.0096782	0	0.004357951	0	0	0.00560929	0	0.004525972	0	0.00581256	0	0.000173895	0.027321499	0	0.000628607	0.000176245	0.002554377	0.32843137	0	0	0.000286692	0.002864568	0	0	0	0	0.000934098	0	0	0.051336644	0.000301966	0	0.000126897	0	0.18887471
CRR813130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813131	0	0	0.061631478	0	0.008546738	0	0	0	0	0	0	0	0	0.007090627	0	0	0	0.025228704	0	0	0	0	0	0	0	0	0	0.031971131	0.478364091	0	0.021620082	0	0	0	0	0	0	0	0	0	0.003703586	0.007565446	0.004083441	0	0	0	0	0	0	0	0	0	0	0	0.035231553	0	0	0	0	0.019689152	0	0	0	0.009274793	0.014181254	0	0	0	0.187078599	0	0	0	0	0	0	0	0.075496185	0	0	0	0	0.009243139
CRR813132	0.000339147	0	0.000413266	0.00052332	0.000334655	0.005298337	0.001327392	0.002751362	0	0	0.011353579	0	0	0.003730622	0.000233585	0	0	0.005022078	0	0	0	0	0.000667065	0	0	0.00569139	0.006618991	0.054971094	0.002580665	0	0	0	0	0	0	0	0	0.010430471	0	0	0.001675523	0.001019689	0.001313916	0.004698653	0	0	0.002030393	0.005356734	0	0	0	0	0	0	0.042871838	0	0.00310174	0	0	0.066807567	0	0	0	0.000285243	0.133100798	0	0	0	0.125089281	0	0	0	0	0	0	0	0.394895717	0.000249307	0	0	0	0.105216583
CRR813133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813134	0.001081963	0	0.001594684	0	0.009002899	0.065539487	0	0.021223425	0	0	0.002813911	0	0	0.008611294	0	0	0.002773539	0.00095681	0	0	0	0	0.006810713	0	0	0.003589049	0.001453383	0.026879506	0	0	0.012410274	0	0	0	0	0	0	0.005817568	0	0	0.035692658	0	0.00220026	0.005207955	0	0	0	0.001251524	0	0.000480424	0	0	0.000633837	0	0.004037175	0	0.002551494	0	0	0.200829236	0.000407755	0.001049665	0	0.012135746	0.186800055	0	0	0.000545019	0.008526512	0	0	0.000948736	0	0.001384751	0	0	0.153957641	0.001651204	0	0	0	0.209149851
CRR813135	0	0	0.009172618	0	0	0.02773247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004442517	0.008129593	0.001686869	0	0	0	0	0	0	0	0	0	0	0.000588044	0.030114691	0	0	0	0	0.003223508	0	0	0	0.000673889	0	0	0	0	0.001442208	0	0	0	0	0.162132581	0	0	0.000510782	0	0.03208485	0	0	0.000600921	0.039145663	0	0	0.00116321	0	0	0	0	0.603740299	0	0	0	0	0.073415287
CRR813136	0.00623535	0	0.018126862	0	0.008226319	0	0	0	0	0	0.02004543	0	0	0.232707988	0	0.000941185	0	0.008705962	0	0	0.001104083	0	0	0	0	0.05771998	0.029267234	0.02821745	0.001393677	0	0.056507298	0	0	0	0.001348428	0	0	0.003176499	0	0	0	0	0.001122182	0.023493424	0	0	0	0.001366528	0	0.000986434	0	0	0.007339433	0.001321279	0.010868876	0	0.002606358	0	0	0.048652024	0	0	0	0.017792017	0.060380638	0	0	0	0.046208562	0	0	0.009954841	0	0	0.001429877	0	0.261169785	0.014660766	0	0	0	0.016923229
CRR813137	0.003150091	0	0.04083537	0	0.016842398	0.021949714	0.000658475	0.004630832	0	0	0.000537699	0	0.000550935	0.007977804	0	0.001216027	0.000653511	0	0	0.000186954	0	0	0.002494924	0	0	0.003820148	0.001571736	0.014445086	0	0	0	0.000316002	0	0.045780549	0	0	0.000218389	0.012714522	0	0	0.198607938	0.004126222	0.008952281	0.000815648	0.000812339	0	0.001389746	0.001925791	0	0.002723241	0	0.000502956	0.001541957	0	0.013465646	0.000506265	0.004533218	0	0.000324274	0.080644974	0.000345783	0.00056748	0.000198535	0.001580008	0.178469858	0	0	0.000220044	0.009216994	0.000302766	0	0.000423541	0	0.000306075	0	0	0.114361202	0.00134673	0	0	0	0.191237321
CRR813138	0.009667161	0	0.072892197	0	0.002041849	0	0.016334792	0	0	0	0.003631961	0.007571103	0	0.247732283	0.010895883	0	0	0.016443208	0	0	0.005276283	0	0	0	0	0.029579704	0.011817426	0.008311951	0	0	0.021285822	0	0	0	0	0.015503596	0	0.003993351	0	0	0	0.064580246	0.022568755	0.005746087	0	0	0	0	0	0	0	0	0	0	0.103140472	0	0	0	0	0.004481226	0	0	0	0.003577752	0.085269777	0	0	0	0.039264935	0	0	0	0	0	0	0	0.163239495	0.002367099	0	0	0	0.022785587
CRR813139	0.002349694	0	0.057636508	0	0	0.060687956	0	0.0081096	0	0	0.002710428	0.000431697	0.008626059	0.078949338	0	0.000816085	0.00033905	0.000932387	0	0	0	0	0	0	0	0.051985018	0.004261777	0.008624088	0.00264932	0	0.011113739	0	0	0	0	0	0	0.022797162	0	0	0.023053421	0.000628819	0.002655233	0.156378868	0	0	0.000360734	0.003092844	0	0.002885866	0	0	0.007358565	0	0.1043288	0	0.002830672	0	0	0.034841318	0	0.001925882	0.00038833	0.042170313	0.099917209	0	0	0.000512517	0.019994085	0	0	0.000798345	0.001435049	0.00048492	0	0	0.053317565	0.020392273	0	0	0	0.097228464
CRR813140	0.021944599	0	0.275543379	0	0.007947481	0	0.013247197	0	0	0	0	0.002237193	0	0.070073567	0.002823722	0	0.000858847	0.024621688	0	0	0.000846279	0	0.002911702	0	0	0.009736397	0.008915255	0.013691283	0.039636854	0	0.026184372	0	0	0.000703836	0	0.002467615	0.006263302	0.001990013	0	0	0	0.091414878	0.009971008	0.04285439	0	0	0	0	0	0	0	0	0.000427329	0	0.022275568	0	0	0	0	0.010771203	0.005199169	0	0	0.010792151	0.011944263	0	0	0	0.028693882	0	0	0.002279087	0	0	0.000632614	0	0.204552313	0.001659042	0	0	0	0.023888525
CRR813141	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017515454	0	0	0.007653811	0	0	0	0	0	0	0	0	0.020017664	0.011039152	0.008610538	0.129820429	0	0	0	0	0	0	0	0	0.01405652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119958787	0	0	0	0	0.10119223	0	0	0	0	0.427509567	0	0	0	0.009567265	0	0	0.01368855	0	0	0	0	0.119370033	0	0	0	0	0
CRR813142	0.004637222	0	0.014261928	0.000108096	0.001509987	0.001769753	0.000186025	0.003485039	0	0	0.004799785	0	0	0.001266982	0	0.000682092	0.00116559	0.001659144	0	0	0	0	0.000242168	0	0	0.010758455	0.00122676	0.02258027	0.000450818	0	0.011338317	0	0	0	0	0.000360319	0	0.007519774	0	0	0.010549804	0.005284958	8.96608E-05	0.001782322	0	0	0	0.007863334	0	0.003658495	0	0	0.000155021	0	0.038112533	0	0.003909042	0	0	0.082475342	0.000296635	0.000221219	0	0.002274199	0.134910134	9.55264E-05	0	0	0.027881986	0.000160887	0	0.000451656	0	0.000197756	0	0	0.514657021	9.38505E-05	0	0	0	0.074870096
CRR813143	0.001842446	0	0.006480088	0	0.016042594	0	0	0.002262777	0	0	0.010214018	0	0.005492311	0.022760867	0	0.0014011	0	0.009303303	0	0	0	0	0.0034397	0	0	0.034656205	0.030340817	0.044211705	0.014165119	0	0.001078847	0	0	0	0	0	0	0.008119374	0	0	0.004924866	0	0	0.028757575	0	0	0	0	0	0	0	0	0.043630249	0	0.103254053	0	0.002641074	0	0	0.090034675	0	0.001183929	0	0.002970332	0.026592876	0	0	0	0.06117202	0	0	0.00112088	0	0	0	0	0.382185016	0.00392308	0	0.002620057	0	0.033178044
CRR813144	0.035997327	0	0	0	0	0	0	0	0	0	0.007524284	0	0	0.008377448	0	0	0	0	0	0	0.001089582	0	0	0	0	0	0.002847304	0.028945881	0.001541862	0	0.083394151	0	0	0	0	0.001521303	0	0.010854705	0	0	0	0.005972144	0.001151257	0.002281955	0	0	0	0.002631444	0	0	0	0	0	0	0.026807833	0	0	0	0	0.01102945	0	0	0	0	0.061294136	0	0	0	0.083363314	0	0	0.005550702	0	0	0	0	0.57538161	0	0	0	0	0.042442308
CRR813145	0.002537537	0	0.019718505	0	0.008010334	0.001482421	0.000532488	0.001255621	0	0	0.015093745	0	0.000686976	0.120934023	0	0.002402772	0.00205764	0.006343843	0	0	0	0	0.000466749	0	0	0.063050566	0.009006286	0.011842937	0.003099608	0	0.021818874	0	0	0.000358279	0	0	0	0.009624234	0	0	0.002139814	0.001548161	0.001600752	0.032771043	0	0	0	0.000825028	0	0	0	0	0.011123091	0	0.224013253	0	0.006731705	0	0	0.036850168	0	0.000447027	0	0.059553236	0.07501512	0	0	0	0.016947592	0	0	0.002129953	0	0	0	0	0.198046229	0.004825265	0	0	0	0.025109127
CRR813146	0.00438565	0	0.061009417	0	0.000181169	0.003461006	0.002811533	0.001321164	0	0	0.00625203	0	0.024302244	0.006368251	0	0	0.000290554	0.000994719	0	0	0.000386265	0	0	0	0	0.004963339	0.002478251	0.032994924	0.004758242	0	0.016277837	0	0	0.006188791	0	0	0.002297083	0.004201063	0	0	0.005400879	0.001447641	0.003073031	0.006366542	0	0	0	0.001596336	0	0.000384556	0	0	0.018949222	0	0.096207421	0	0.002883317	0	0	0.116481226	0	0	0	0.007754363	0.148038762	0	0	0	0.042203763	0	0	0.00091268	0	0	0	0	0.239631513	0.001013519	0	0	0	0.121731699
CRR813147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813149	0	0	0.051592529	0	0.000437858	0.003284894	0	0	0	0	0.000118327	0	0	0	0	0	0	0	5.0301E-05	0	0	0	0.001545917	0	0	0	0.000583971	0.00150424	0	0	0	0	0	0	0	0	0	0.003228366	0	0	0.008135347	0	0	0	0	0	0	0	0	0.000622295	0	0	0	0	0	0	0.000219408	0	0	0.075776767	0	0	6.17984E-05	0	0.001075004	0	0	0	0.205055105	0	0	0.000789486	0	0.000394264	0.000966258	7.95235E-05	0.507284542	0	5.46125E-05	0	0	0.137139187
CRR813150	0.015065623	0	0.048377804	0	0.003187571	0.003649577	0	0.003279176	0	0	0.006522507	0	0.004925402	0.078669689	0	0.000469971	0.000674422	0.00088551	0	0	0	0	0.000581489	0	0	0.004710331	0.010785434	0.034480469	0.000468643	0	0.004718295	0	0	0.004495259	0	0	0	0.009720699	0	0	0.043238658	0.011568721	0.010480088	0.003895183	0	0	0	0	0	0.000675749	0	0	0.003251296	0	0.033438304	0	0.003340246	0	0	0.141244865	0.000650525	0.000270831	0	0.028589901	0.181041051	0	0	0	0.064440456	0	0	0.000959856	0	0.000240296	0	0	0.196685512	0.002817171	0.000143381	0.000197813	0	0.037162226
CRR813151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283348666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.456301748	0	0	0	0	0	0	0	0	0	0.260349587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813153	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067826089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111304348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.490434781	0	0	0	0.070724636	0	0	0	0	0	0	0	0.259710145	0	0	0	0	0
CRR813156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRR813157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

